Client Name,Total Assistance,Total Investment,Investment Gain,Condition,Estimated Jobs,Country,SME,Ownership,Status,Constituency,Sector
360 Energy,1530,3825,2295.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,UPPER BANN,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
360 Energy,5011,10624,5613.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,UPPER BANN,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
3DEO NI,660000,3076000,2416000.0,Creating Jobs / Capital Investment / Business Development,33,Northern Ireland,SME,Local,Local,BELFAST SOUTH,INFORMATION AND COMMUNICATION
3DEO NI,250000,500000,250000.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST NORTH,INFORMATION AND COMMUNICATION
3DEO NI,14498,59139,44641.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,BELFAST NORTH,INFORMATION AND COMMUNICATION
3DEO NI,50000,100000,50000.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST NORTH,INFORMATION AND COMMUNICATION
3DEO NI,25988,104477,78489.0,Other,0,Northern Ireland,SME,Local,Local,BELFAST NORTH,INFORMATION AND COMMUNICATION
3EN Cloud Ltd,18904,63347,44443.0,Developing Skills,0,Northern Ireland,SME,Local,Local,NORTH DOWN,INFORMATION AND COMMUNICATION
3EN Cloud Ltd,17429,39506,22077.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,NORTH DOWN,INFORMATION AND COMMUNICATION
3EN Cloud Ltd,8027,19029,11002.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,NORTH DOWN,INFORMATION AND COMMUNICATION
3EN Cloud Ltd,10000,22645,12645.0,Developing Skills,0,Northern Ireland,SME,Local,Local,NORTH DOWN,INFORMATION AND COMMUNICATION
3EN Cloud Ltd,96000,1268647,1172647.0,Creating Jobs / Capital Investment / Business Development,16,Northern Ireland,SME,Local,Local,NORTH DOWN,INFORMATION AND COMMUNICATION
3EN Cloud Ltd,2250,4500,2250.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NORTH DOWN,INFORMATION AND COMMUNICATION
3EN Cloud Ltd,4000,14400,10400.0,Developing Skills,0,Northern Ireland,SME,Local,Local,NORTH DOWN,INFORMATION AND COMMUNICATION
3PS Computer Services Limited,14490,116800,102310.0,Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,INFORMATION AND COMMUNICATION
3R Mobility,22000,173500,151500.0,Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
3R Mobility,6232,21274,15042.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
3RD Digital Limited,14200,35500,21300.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION
3RD Digital Limited,49000,249000,200000.0,Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION
3RD Digital Limited,3990,7980,3990.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION
Flyte Technologies Limited,6000,20000,14000.0,Other,0,Northern Ireland,SME,Local,Local,NORTH DOWN,INFORMATION AND COMMUNICATION
3RD Digital Limited,4125,8250,4125.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION
3RD Digital Limited,3000,6000,3000.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,INFORMATION AND COMMUNICATION
3TPower Ltd,41700,139000,97300.0,Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,SME,Local,Local,WEST TYRONE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
3Y Group,6792,17670,10878.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,MID ULSTER,MANUFACTURING
3Y Group,41310,148540,107230.0,Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,SME,Local,Local,MID ULSTER,MANUFACTURING
3Y Group,6380,16325,9945.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,MID ULSTER,MANUFACTURING
4 Beauty Group,10000,25225,15225.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
4 Beauty Group,25000,78556,53556.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
4 Beauty Group,3975,8112,4137.0,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
4 Beauty Group,10300,20600,10300.0,Covid Support,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
4 Leaf Exhibitions,16000,176788,160788.0,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,NORTH ANTRIM,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
42 Digital Ltd,35000,384880,349880.0,Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,SME,Local,Local,WEST TYRONE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
42 Digital Ltd,10000,20000,10000.0,Developing Overseas Trade Capability,0,Northern Ireland,SME,Local,Local,WEST TYRONE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
45/50 Ltd,5570,13925,8355.0,Other,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
45/50 Ltd,3140,8000,4860.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
493K Limited,4000,8000,4000.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
493K Limited,10000,20000,10000.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
54North,15000,15000,0.0,Other,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,INFORMATION AND COMMUNICATION
54North,10000,10000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,INFORMATION AND COMMUNICATION
A & B Pneumatics Limited,9000,30000,21000.0,Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
A & B Pneumatics Limited,2436,4872,2436.0,Developing Skills,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
A & B Pneumatics Limited,48000,451540,403540.0,Creating Jobs / Capital Investment / Business Development,12,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
A & B Pneumatics Limited,13000,52000,39000.0,Other,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,MANUFACTURING
A & N Shilliday & Co Ltd,42200,507000,464800.0,Creating Jobs / Capital Investment / Business Development,7,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,OTHER SERVICE ACTIVITIES
A & N Shilliday & Co Ltd,17313,57505,40192.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,OTHER SERVICE ACTIVITIES
A Broader Picture,4000,5000,1000.0,Covid Support,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
A N Irwin Feeds Ltd,95000,841098,746098.0,Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,MANUFACTURING
A N Irwin Feeds Ltd,37500,85000,47500.0,Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,MANUFACTURING
A R Live Systems Limited,48000,437900,389900.0,Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,SME,Local,Local,NORTH DOWN,INFORMATION AND COMMUNICATION
A Slice of Heaven Limited,6210,20700,14490.0,Other,0,Northern Ireland,SME,Local,Local,STRANGFORD,MANUFACTURING
A W Control Systems Ltd,2030,4060,2030.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A W Control Systems Ltd,11100,37000,25900.0,Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A W Control Systems Ltd,10000,20225,10225.0,Developing Skills,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A W Control Systems Ltd,1470,3000,1530.0,Developing Skills,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A W Control Systems Ltd,32820,119000,86180.0,Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A W Control Systems Ltd,128000,1000600,872600.0,Creating Jobs / Capital Investment / Business Development,16,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A W Control Systems Ltd,10000,20315,10315.0,Developing Skills,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A W Control Systems Ltd,2008,12937,10929.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A W Control Systems Ltd,7500,15000,7500.0,Other,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A.Farlow (Engineering) Ltd,49257,114129,64872.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,MANUFACTURING
A.Farlow (Engineering) Ltd,48000,332800,284800.0,Creating Jobs / Capital Investment / Business Development,8,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,MANUFACTURING
A.Farlow (Engineering) Ltd,2738,6846,4108.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,MANUFACTURING
A.Farlow (Engineering) Ltd,2882,5764,2882.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,MANUFACTURING
A.Farlow (Engineering) Ltd,5800,11600,5800.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,MANUFACTURING
A.Farlow (Engineering) Ltd,47203,137424,90221.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,MANUFACTURING
Armagh Marble,5100,17000,11900.0,Other,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
A.Farlow (Engineering) Ltd,4874,9748,4874.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,MANUFACTURING
A.Farlow (Engineering) Ltd,826,1651,825.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,MANUFACTURING
A.J. Power Limited,1384291,9323798,7939507.0,Creating Jobs / Capital Investment / Business Development,50,Northern Ireland,SME,Local,Local,UPPER BANN,MANUFACTURING
A.J. Power Limited,15600,52000,36400.0,Other,0,Northern Ireland,SME,Local,Local,UPPER BANN,MANUFACTURING
A.J. Power Limited,29950,110752,80802.0,Developing Skills,0,Northern Ireland,SME,Local,Local,UPPER BANN,MANUFACTURING
A.J.C. Lamont Trailers,15900,97000,81100.0,Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,MANUFACTURING
A1 Solutions (NI) Limited,3980,7960,3980.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST WEST,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
A1 Solutions (NI) Limited,5200,10400,5200.0,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST WEST,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
A1 Solutions (NI) Limited,6583,22989,16406.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST WEST,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
A1 Solutions (NI) Limited,3925,7850,3925.0,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST WEST,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
A1 Solutions (NI) Limited,10000,27750,17750.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST WEST,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
A1 Solutions (NI) Limited,2460,4920,2460.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST WEST,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
AA Specialist Joinery Limited,4400,8800,4400.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,MANUFACTURING
AA Specialist Joinery Limited,3765,7530,3765.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH ANTRIM,MANUFACTURING
AATHER,19590,39180,19590.0,Covid Support,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
Abacus Legal Recruitment Ltd,87300,629979,542679.0,Creating Jobs / Capital Investment / Business Development,9,Northern Ireland,SME,Local,Local,BELFAST SOUTH,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
Abacus Legal Recruitment Ltd,3120,7800,4680.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
Abacus Legal Recruitment Ltd,1213,2425,1212.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
Abacus Legal Recruitment Ltd,1838,3750,1912.0,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
Abacus Legal Recruitment Ltd,8000,10000,2000.0,Covid Support,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
Abbey Upholsterers Limited,97500,813538,716038.0,Creating Jobs / Capital Investment / Business Development,15,Northern Ireland,SME,Local,Local,EAST ANTRIM,MANUFACTURING
Abbey Upholsterers Limited,10800,29806,19006.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,MANUFACTURING
Abbey Upholsterers Limited,2450,7000,4550.0,Developing Skills,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,MANUFACTURING
Abbey Upholsterers Limited,3400,8500,5100.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST ANTRIM,MANUFACTURING
Abertay International Training Limited,4880,9760,4880.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,WEST TYRONE,EDUCATION
Able Gas,9991,19982,9991.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING
Able Gas,675,1350,675.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING
ABP,90000,440737,350737.0,Developing Skills,0,Irish Republic,Non SME,External,Existing,UPPER BANN,MANUFACTURING
Absolute Organic Wine Limited,4000,5000,1000.0,Covid Support,0,Northern Ireland,SME,Local,Local,MID ULSTER,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
Academin Fish Ltd,35000,35000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST NORTH,INFORMATION AND COMMUNICATION
Academin Fish Ltd,10000,10000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST NORTH,INFORMATION AND COMMUNICATION
Academy for International Science and Research Ltd,2200,4400,2200.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,FOYLE,EDUCATION
Accumin Solutions Ltd,38538,94876,56338.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,MID ULSTER,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
Accumin Solutions Ltd,22400,223900,201500.0,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,MID ULSTER,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
Ace Drains Limited,36000,313800,277800.0,Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,SME,Local,Local,LAGAN VALLEY,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
Ace Drains Limited,60000,60000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
Ace Fixings Limited,18000,36000,18000.0,Covid Support,0,Northern Ireland,SME,Local,Local,NORTH ANTRIM,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
ACE45 Limited,10000,10000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST EAST,INFORMATION AND COMMUNICATION
Aces Jewellers Limited,25000,25000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,LAGAN VALLEY,OTHER SERVICE ACTIVITIES
Acheson & Glover Limited,42444,126811,84367.0,Developing Skills,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,MANUFACTURING
Acheson & Glover Limited,40000,738123,698123.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,MANUFACTURING
Acheson & Glover Limited,76466,353794,277328.0,Developing Skills,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,MANUFACTURING
Acheson & Glover Limited,25063,50125,25062.0,Other,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,MANUFACTURING
Acheson & Glover Limited,14568,37220,22652.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,MANUFACTURING
Axial3D,1470,3000,1530.0,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,MANUFACTURING
Acksen Ltd,623,1245,622.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST NORTH,INFORMATION AND COMMUNICATION
Acksen Ltd,10620,23600,12980.0,Investing in R&D,0,Northern Ireland,SME,Local,Local,BELFAST NORTH,INFORMATION AND COMMUNICATION
Acksen Ltd,3650,7300,3650.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST NORTH,INFORMATION AND COMMUNICATION
ACME Ideas Limited,100000,1110000,1010000.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,"ARTS, ENTERTAINMENT AND RECREATION"
Acorn IT Solutions Ltd,1715,3500,1785.0,Developing Skills,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,INFORMATION AND COMMUNICATION
Acorn IT Solutions Ltd,4790,11975,7185.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,INFORMATION AND COMMUNICATION
Acorn IT Solutions Ltd,22700,247000,224300.0,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,INFORMATION AND COMMUNICATION
Acorn IT Solutions Ltd,3822,7800,3978.0,Developing Skills,0,Northern Ireland,SME,Local,Local,EAST LONDONDERRY,INFORMATION AND COMMUNICATION
Acoustic Fire Seal Ltd,27000,27000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
Acres Consultancy Services Ltd,13000,13000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,WEST TYRONE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ACT,4392,11851,7459.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING
Angoka,4150,8300,4150.0,Developing Innovation & Technology  ,0,Great Britain,SME,External,Existing,BELFAST EAST,INFORMATION AND COMMUNICATION
Action Renewables,4365,8730,4365.0,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
Action Renewables,21000,141683,120683.0,Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,SME,Local,Local,BELFAST SOUTH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
Action Renewables,14735,42088,27353.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
Action Renewables,22000,22000,0.0,Developing Skills,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
Action Renewables,17668,44170,26502.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,BELFAST SOUTH,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
ActPsych Marketing Limited,15000,15000,0.0,Other,0,Northern Ireland,SME,Local,Local,BELFAST EAST,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
Adair Arms Hotel,5510,35011,29501.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NORTH ANTRIM,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
Adair Arms Hotel,3940,10194,6254.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NORTH ANTRIM,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
AddMineral Systems Ltd,2250,4500,2250.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
AddMineral Systems Ltd,3495,6990,3495.0,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,NEWRY AND ARMAGH,MANUFACTURING
Adele's Sandwich Bar,3000,3000,0.0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,NORTH DOWN,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
Adgey Awnings and Shutters Ltd,20800,171500,150700.0,Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,SME,Local,Local,LAGAN VALLEY,CONSTRUCTION
